Name,Brand,Original Price,Discounted Price,Image Url
Ted Baker Francj Debonair Slim Fit Wool Jacket,ted baker,289.0,120.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/279565.jpg
Ted Baker Regdebj Wool Birdseye Suit Jacket,ted baker,289.0,120.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/294343.jpg
Ted Baker Franct Debonair Slim Fit Wool Trousers,ted baker,139.0,65.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/239738.jpg
Ted Baker Diaryt Debonair Semi Plain Wool Trousers,ted baker,139.0,65.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/221662.jpg
Ted Baker Purple Shecan Floral Cotton Blend Shirt,ted baker,95.0,45.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/958469.jpg
Ted Baker Twinkel Bird Print Shirt,ted baker,95.0,45.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/290576.jpg
Ted Baker White Otta Stretch Cotton Shirt,ted baker,89.0,42.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/146939.jpg
Ted Baker Blue Weare Short Sleeve Floral Print Shirt,ted baker,85.0,42.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/469494.jpg
Ted Baker Seenchi Slim Fit Cotton Chinos,ted baker,89.0,42.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/854887.jpg
Ted Baker Tillnow Cotton Geo Print Shirt,ted baker,89.0,42.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/350063.jpg
Ted Baker Blue Yepyep Short Sleeve Floral Print Shirt,ted baker,89.0,42.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/747179.jpg
Ted Baker Blue Sortit Cotton Geo Print Shirt,ted baker,85.0,42.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/136859.jpg
Ted Baker Tillyou Geo Print Shirt,ted baker,95.0,45.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/140314.jpg
Ted Baker Red Yepyep Floral Print Shirt,ted baker,89.0,42.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/859982.jpg
Ted Baker White Lapins Paisley Print Shirt,ted baker,95.0,45.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/106991.jpg
Ted Baker Seenchi Slim Fit Cotton Chinos,ted baker,89.0,42.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/957172.jpg
Ted Baker Orange Tincere Super Slim Fit Chino Trousers,ted baker,89.0,42.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/956497.jpg
Ted Baker Whonos Cotton Geo Print Shirt,ted baker,89.0,42.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/231939.jpg
Ted Baker Hooptro Core Linen Mix Trousers,ted baker,99.0,45.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/645658.jpg
Ted Baker Navy Corntro Micro Check Trousers,ted baker,99.0,45.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/671378.jpg
Ted Baker White Flynow Geo Print Shirt,ted baker,89.0,42.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/680118.jpg
Ted Baker Desole Cotton Striped Shirt,ted baker,89.0,42.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/291955.jpg
Ted Baker Sleepe Printed Chinos,ted baker,99.0,45.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/292394.jpg
Ted Baker Grey Sappy Checked Cotton Trousers,ted baker,99.0,45.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/292883.jpg
Ted Baker Desole Cotton Striped Shirt,ted baker,89.0,42.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/285072.jpg
Ted Baker Clenchi Classic Fit Chinos,ted baker,89.0,42.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/704004.jpg
Ted Baker Teenchi Tapered Fit Chinos,ted baker,89.0,42.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/833134.jpg
Ted Baker Toobig Floral Print Shirt,ted baker,95.0,45.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/399180.jpg
Ted Baker Hedoes Ls Geo Print Shirt,ted baker,89.0,42.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/375577.jpg
Ted Baker Blue Rivdebj Fashion Fit Debonair Check Suit: Jacket,ted baker,329.0,145.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/278328.jpg
Ted Baker Navy Debonair Jacket,ted baker,289.0,120.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/207463.jpg
Ted Baker Hoop Core Linen Blazer,ted baker,249.0,120.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/276034.jpg
Ted Baker Hoop Core Linen Mix Blazer,ted baker,249.0,120.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/574691.jpg
Ted Baker Diaryj Debonair Semi Plain Wool Jacket,ted baker,289.0,120.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/214585.jpg
Ted Baker Pivot Bomber Jacket,ted baker,179.0,85.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/242978.jpg
Ted Baker Blue Sterling Check Blazer,ted baker,309.0,77.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/130796.jpg
Ted Baker Dark Blue Sterling Jacket,ted baker,289.0,72.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/949893.jpg
Ted Baker Blue Rivdebt Fashion Fit Debonair Check Suit Trousers,ted baker,149.0,70.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/253993.jpg
Ted Baker Navy TimzonJ Suit: Jacket,ted baker,230.0,69.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/944371.jpg
Ted Baker Blue Rivdebw Fashion Fit Debonair Check Suit Waistcoat,ted baker,139.0,65.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/731088.jpg
Ted Baker Anneto Sterling Suit Jacket,ted baker,285.0,53.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/554734.jpg
Ted Baker White Briidge Floral Leaf Print Cotton Shirt,ted baker,95.0,45.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/237521.jpg
Ted Baker Blue Telfone Semi Plain Trousers,ted baker,99.0,45.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/222576.jpg
Ted Baker Pink Rewrite Modern Fit Geo Print Shirt,ted baker,95.0,45.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/715933.jpg
Ted Baker Hooptro Core Linen Mix Trousers,ted baker,99.0,45.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/230669.jpg
Ted Baker Blue Getout Long Sleeve Cat Printed Shirt,ted baker,95.0,45.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/836797.jpg
Ted Baker Lait Geo Print Dobby Shirt,ted baker,95.0,45.0,https://xcdn.next.co.uk/COMMON/Items/Default/Default/ItemImages/Search/701390.jpg
